FactID,Date,Open,High,Low,Close,AdjClose,Volume,Company,Symbol,Industry,IndexWeighting,Exchange
1,2015-01-02,164.71001,165.08,162.73,164.06,136.07068,2116400,3M,MMM,Conglomerate,0.0384,NYSE
2,2015-01-05,163.0,163.64,160.08,160.36,133.00192,3692900,3M,MMM,Conglomerate,0.0384,NYSE
3,2015-01-06,160.82001,161.37,157.74001,158.64999,131.58366,3532000,3M,MMM,Conglomerate,0.0384,NYSE
4,2015-01-07,159.89999,160.28,158.94,159.8,132.53748,3081300,3M,MMM,Conglomerate,0.0384,NYSE
5,2015-01-08,160.64999,163.69,160.52,163.63001,135.71404,3142900,3M,MMM,Conglomerate,0.0384,NYSE
6,2015-01-09,163.85001,164.0,161.27,161.62,134.047,2378600,3M,MMM,Conglomerate,0.0384,NYSE
7,2015-01-12,162.39,162.39,160.02,160.74001,133.31712,2149200,3M,MMM,Conglomerate,0.0384,NYSE
8,2015-01-13,162.23,164.38001,159.45,160.62,133.21756,2703000,3M,MMM,Conglomerate,0.0384,NYSE
9,2015-01-14,159.03999,160.53,158.5,159.84,132.57065,1983500,3M,MMM,Conglomerate,0.0384,NYSE
10,2015-01-15,160.89,161.44,159.37,159.66,132.42134,1876800,3M,MMM,Conglomerate,0.0384,NYSE
11,2015-01-16,159.86,162.17999,159.09,162.0,134.36215,2349700,3M,MMM,Conglomerate,0.0384,NYSE
12,2015-01-20,162.72,163.39999,160.06,161.94,134.31238,2091800,3M,MMM,Conglomerate,0.0384,NYSE
13,2015-01-21,161.66,163.37,161.02,162.53999,134.81003,1597700,3M,MMM,Conglomerate,0.0384,NYSE
14,2015-01-22,163.26,165.99001,162.13001,165.89,137.58846,2225800,3M,MMM,Conglomerate,0.0384,NYSE
15,2015-01-23,165.75,165.98,163.91,164.02,136.03755,2245600,3M,MMM,Conglomerate,0.0384,NYSE
16,2015-01-26,163.62,164.28,161.8,164.24001,136.21999,3556300,3M,MMM,Conglomerate,0.0384,NYSE
17,2015-01-27,162.31,165.14,160.94,163.63001,135.71404,4190700,3M,MMM,Conglomerate,0.0384,NYSE
18,2015-01-28,164.61,166.57001,163.76,163.94,135.97116,3574600,3M,MMM,Conglomerate,0.0384,NYSE
19,2015-01-29,164.07001,166.16,162.88001,166.13001,137.78755,2674600,3M,MMM,Conglomerate,0.0384,NYSE
20,2015-01-30,164.75,165.22,162.3,162.3,134.61096,3561900,3M,MMM,Conglomerate,0.0384,NYSE
21,2015-02-02,162.12,164.62,160.89,164.42,136.36925,2379700,3M,MMM,Conglomerate,0.0384,NYSE
22,2015-02-03,165.17,166.19,164.71001,165.94,137.62999,2604800,3M,MMM,Conglomerate,0.0384,NYSE
23,2015-02-04,165.78,165.83,164.24001,164.81,136.69276,2363600,3M,MMM,Conglomerate,0.0384,NYSE
24,2015-02-05,165.31,166.59,164.75,166.55,138.13594,2050500,3M,MMM,Conglomerate,0.0384,NYSE
25,2015-02-06,166.23,167.67999,165.56,166.07001,137.73776,1826900,3M,MMM,Conglomerate,0.0384,NYSE
26,2015-02-09,164.38001,165.53999,163.84,164.84,136.71765,2073000,3M,MMM,Conglomerate,0.0384,NYSE
27,2015-02-10,165.39999,166.14,164.60001,165.82001,137.53041,1885100,3M,MMM,Conglomerate,0.0384,NYSE
