FactID,DateTime,LastBid,High,Low,Open,Volume,MarketCap,Beta,Company,Symbol,Exchange
1,2021-05-28 09:30:00.0000000,125.5674,125.65,125.35,125.57,2697703,2095420000000,1.2,Apple Inc.,AAPL,NASDAQ
2,2021-05-28 09:31:00.0000000,125.3,125.8,125.3,125.56,570700,2090960000000,1.2,Apple Inc.,AAPL,NASDAQ
3,2021-05-28 09:32:00.0000000,125.0201,125.32,124.95,125.32,1014174,2086290000000,1.2,Apple Inc.,AAPL,NASDAQ
4,2021-05-28 09:33:00.0000000,125.01,125.1669,124.95,125.03,532281,2086120000000,1.2,Apple Inc.,AAPL,NASDAQ
5,2021-05-28 09:34:00.0000000,124.77,125.045,124.74,125.0,609531,2082120000000,1.2,Apple Inc.,AAPL,NASDAQ
6,2021-05-28 09:35:00.0000000,124.8287,124.88,124.58,124.77,691049,2083100000000,1.2,Apple Inc.,AAPL,NASDAQ
7,2021-05-28 09:36:00.0000000,124.85,124.89,124.59,124.82,524049,2083450000000,1.2,Apple Inc.,AAPL,NASDAQ
8,2021-05-28 09:37:00.0000000,124.865,124.94,124.84,124.855,428989,2083700000000,1.2,Apple Inc.,AAPL,NASDAQ
9,2021-05-28 09:38:00.0000000,124.905,124.94,124.82,124.86,313510,2084370000000,1.2,Apple Inc.,AAPL,NASDAQ
10,2021-05-28 09:39:00.0000000,124.895,124.91,124.81,124.84,441232,2084200000000,1.2,Apple Inc.,AAPL,NASDAQ
11,2021-05-28 09:40:00.0000000,125.05,125.07,124.87,124.885,444847,2086790000000,1.2,Apple Inc.,AAPL,NASDAQ
12,2021-05-28 09:41:00.0000000,125.01,125.12,124.99,125.055,338645,2086120000000,1.2,Apple Inc.,AAPL,NASDAQ
13,2021-05-28 09:42:00.0000000,125.202,125.21,124.9,125.01,395965,2089320000000,1.2,Apple Inc.,AAPL,NASDAQ
14,2021-05-28 09:43:00.0000000,125.31,125.35,125.18,125.205,412383,2091130000000,1.2,Apple Inc.,AAPL,NASDAQ
15,2021-05-28 09:44:00.0000000,125.25,125.3477,125.1525,125.31,416046,2090130000000,1.2,Apple Inc.,AAPL,NASDAQ
16,2021-05-28 09:45:00.0000000,125.24,125.29,125.18,125.25,233483,2089960000000,1.2,Apple Inc.,AAPL,NASDAQ
17,2021-05-28 09:46:00.0000000,125.3093,125.35,125.23,125.2499,208123,2091120000000,1.2,Apple Inc.,AAPL,NASDAQ
18,2021-05-28 09:47:00.0000000,125.25,125.38,125.18,125.31,325786,2090130000000,1.2,Apple Inc.,AAPL,NASDAQ
19,2021-05-28 09:48:00.0000000,125.145,125.31,125.0482,125.25,295520,2088370000000,1.2,Apple Inc.,AAPL,NASDAQ
20,2021-05-28 09:49:00.0000000,125.09,125.15,125.0,125.14,356951,2087460000000,1.2,Apple Inc.,AAPL,NASDAQ
21,2021-05-28 09:50:00.0000000,125.18,125.195,125.06,125.08,282028,2088960000000,1.2,Apple Inc.,AAPL,NASDAQ
22,2021-05-28 09:51:00.0000000,125.15,125.23,125.1255,125.185,210693,2088460000000,1.2,Apple Inc.,AAPL,NASDAQ
23,2021-05-28 09:52:00.0000000,125.235,125.25,125.08,125.155,291873,2089880000000,1.2,Apple Inc.,AAPL,NASDAQ
24,2021-05-28 09:53:00.0000000,125.26,125.28,125.21,125.245,230220,2090290000000,1.2,Apple Inc.,AAPL,NASDAQ
25,2021-05-28 09:54:00.0000000,125.44,125.48,125.26,125.26,356482,2093300000000,1.2,Apple Inc.,AAPL,NASDAQ
26,2021-05-28 09:55:00.0000000,125.41,125.4699,125.3544,125.45,205268,2092800000000,1.2,Apple Inc.,AAPL,NASDAQ
27,2021-05-28 09:56:00.0000000,125.5001,125.515,125.39,125.405,255436,2094300000000,1.2,Apple Inc.,AAPL,NASDAQ
28,2021-05-28 09:57:00.0000000,125.425,125.52,125.41,125.505,234597,2093050000000,1.2,Apple Inc.,AAPL,NASDAQ
29,2021-05-28 09:58:00.0000000,125.47,125.49,125.41,125.42,145560,2093800000000,1.2,Apple Inc.,AAPL,NASDAQ
30,2021-05-28 09:59:00.0000000,125.46,125.48,125.39,125.48,152808,2093630000000,1.2,Apple Inc.,AAPL,NASDAQ
31,2021-05-28 10:00:00.0000000,125.44,125.59,125.44,125.46,280192,2093300000000,1.2,Apple Inc.,AAPL,NASDAQ
32,2021-05-28 10:01:00.0000000,125.45,125.51,125.43,125.435,174794,2093460000000,1.2,Apple Inc.,AAPL,NASDAQ
33,2021-05-28 10:02:00.0000000,125.415,125.49,125.39,125.4508,200344,2092880000000,1.2,Apple Inc.,AAPL,NASDAQ
34,2021-05-28 10:03:00.0000000,125.385,125.4628,125.32,125.42,163923,2092380000000,1.2,Apple Inc.,AAPL,NASDAQ
35,2021-05-28 10:04:00.0000000,125.38,125.425,125.27,125.39,252751,2092300000000,1.2,Apple Inc.,AAPL,NASDAQ
36,2021-05-28 10:05:00.0000000,125.385,125.4,125.3401,125.37,122716,2092380000000,1.2,Apple Inc.,AAPL,NASDAQ
37,2021-05-28 10:06:00.0000000,125.5686,125.58,125.375,125.39,177736,2095440000000,1.2,Apple Inc.,AAPL,NASDAQ
38,2021-05-28 10:07:00.0000000,125.4882,125.575,125.48,125.5692,216131,2094100000000,1.2,Apple Inc.,AAPL,NASDAQ
39,2021-05-28 10:08:00.0000000,125.5,125.51,125.45,125.49,128625,2094300000000,1.2,Apple Inc.,AAPL,NASDAQ
40,2021-05-28 10:09:00.0000000,125.4382,125.54,125.43,125.5,170272,2093270000000,1.2,Apple Inc.,AAPL,NASDAQ
41,2021-05-28 10:10:00.0000000,125.5887,125.5894,125.43,125.4371,142449,2095780000000,1.2,Apple Inc.,AAPL,NASDAQ
42,2021-05-28 10:11:00.0000000,125.64,125.65,125.58,125.59,223171,2096630000000,1.2,Apple Inc.,AAPL,NASDAQ
43,2021-05-28 10:12:00.0000000,125.54,125.65,125.54,125.645,166110,2094970000000,1.2,Apple Inc.,AAPL,NASDAQ
44,2021-05-28 10:13:00.0000000,125.44,125.5752,125.44,125.545,221116,2093300000000,1.2,Apple Inc.,AAPL,NASDAQ
45,2021-05-28 10:14:00.0000000,125.39,125.455,125.35,125.44,221863,2092460000000,1.2,Apple Inc.,AAPL,NASDAQ
46,2021-05-28 10:15:00.0000000,125.4322,125.55,125.38,125.385,201108,2093170000000,1.2,Apple Inc.,AAPL,NASDAQ
47,2021-05-28 10:16:00.0000000,125.5,125.5,125.43,125.435,103364,2094300000000,1.2,Apple Inc.,AAPL,NASDAQ
48,2021-05-28 10:17:00.0000000,125.61,125.63,125.495,125.4992,172704,2096130000000,1.2,Apple Inc.,AAPL,NASDAQ
