FactID,DateTime,LastBid,High,Low,Open,Volume,MarketCap,Beta,SecurityID
1,2021-05-28 09:30:00.0000000,125.56740,125.65000,125.35000,125.57000,2697703,2095420000000,1.200,1
2,2021-05-28 09:31:00.0000000,125.30000,125.80000,125.30000,125.56000,570700,2090960000000,1.200,1
3,2021-05-28 09:32:00.0000000,125.02010,125.32000,124.95000,125.32000,1014174,2086290000000,1.200,1
4,2021-05-28 09:33:00.0000000,125.01000,125.16690,124.95000,125.03000,532281,2086120000000,1.200,1
5,2021-05-28 09:34:00.0000000,124.77000,125.04500,124.74000,125.00000,609531,2082120000000,1.200,1
6,2021-05-28 09:35:00.0000000,124.82870,124.88000,124.58000,124.77000,691049,2083100000000,1.200,1
7,2021-05-28 09:36:00.0000000,124.85000,124.89000,124.59000,124.82000,524049,2083450000000,1.200,1
8,2021-05-28 09:37:00.0000000,124.86500,124.94000,124.84000,124.85500,428989,2083700000000,1.200,1
9,2021-05-28 09:38:00.0000000,124.90500,124.94000,124.82000,124.86000,313510,2084370000000,1.200,1
10,2021-05-28 09:39:00.0000000,124.89500,124.91000,124.81000,124.84000,441232,2084200000000,1.200,1
11,2021-05-28 09:40:00.0000000,125.05000,125.07000,124.87000,124.88500,444847,2086790000000,1.200,1
12,2021-05-28 09:41:00.0000000,125.01000,125.12000,124.99000,125.05500,338645,2086120000000,1.200,1
13,2021-05-28 09:42:00.0000000,125.20200,125.21000,124.90000,125.01000,395965,2089320000000,1.200,1
14,2021-05-28 09:43:00.0000000,125.31000,125.35000,125.18000,125.20500,412383,2091130000000,1.200,1
15,2021-05-28 09:44:00.0000000,125.25000,125.34770,125.15250,125.31000,416046,2090130000000,1.200,1
16,2021-05-28 09:45:00.0000000,125.24000,125.29000,125.18000,125.25000,233483,2089960000000,1.200,1
17,2021-05-28 09:46:00.0000000,125.30930,125.35000,125.23000,125.24990,208123,2091120000000,1.200,1
18,2021-05-28 09:47:00.0000000,125.25000,125.38000,125.18000,125.31000,325786,2090130000000,1.200,1
19,2021-05-28 09:48:00.0000000,125.14500,125.31000,125.04820,125.25000,295520,2088370000000,1.200,1
20,2021-05-28 09:49:00.0000000,125.09000,125.15000,125.00000,125.14000,356951,2087460000000,1.200,1
21,2021-05-28 09:50:00.0000000,125.18000,125.19500,125.06000,125.08000,282028,2088960000000,1.200,1
22,2021-05-28 09:51:00.0000000,125.15000,125.23000,125.12550,125.18500,210693,2088460000000,1.200,1
23,2021-05-28 09:52:00.0000000,125.23500,125.25000,125.08000,125.15500,291873,2089880000000,1.200,1
24,2021-05-28 09:53:00.0000000,125.26000,125.28000,125.21000,125.24500,230220,2090290000000,1.200,1
25,2021-05-28 09:54:00.0000000,125.44000,125.48000,125.26000,125.26000,356482,2093300000000,1.200,1
26,2021-05-28 09:55:00.0000000,125.41000,125.46990,125.35440,125.45000,205268,2092800000000,1.200,1
27,2021-05-28 09:56:00.0000000,125.50010,125.51500,125.39000,125.40500,255436,2094300000000,1.200,1
28,2021-05-28 09:57:00.0000000,125.42500,125.52000,125.41000,125.50500,234597,2093050000000,1.200,1
29,2021-05-28 09:58:00.0000000,125.47000,125.49000,125.41000,125.42000,145560,2093800000000,1.200,1
30,2021-05-28 09:59:00.0000000,125.46000,125.48000,125.39000,125.48000,152808,2093630000000,1.200,1
31,2021-05-28 10:00:00.0000000,125.44000,125.59000,125.44000,125.46000,280192,2093300000000,1.200,1
32,2021-05-28 10:01:00.0000000,125.45000,125.51000,125.43000,125.43500,174794,2093460000000,1.200,1
33,2021-05-28 10:02:00.0000000,125.41500,125.49000,125.39000,125.45080,200344,2092880000000,1.200,1
34,2021-05-28 10:03:00.0000000,125.38500,125.46280,125.32000,125.42000,163923,2092380000000,1.200,1
35,2021-05-28 10:04:00.0000000,125.38000,125.42500,125.27000,125.39000,252751,2092300000000,1.200,1
36,2021-05-28 10:05:00.0000000,125.38500,125.40000,125.34010,125.37000,122716,2092380000000,1.200,1
37,2021-05-28 10:06:00.0000000,125.56860,125.58000,125.37500,125.39000,177736,2095440000000,1.200,1
38,2021-05-28 10:07:00.0000000,125.48820,125.57500,125.48000,125.56920,216131,2094100000000,1.200,1
39,2021-05-28 10:08:00.0000000,125.50000,125.51000,125.45000,125.49000,128625,2094300000000,1.200,1
40,2021-05-28 10:09:00.0000000,125.43820,125.54000,125.43000,125.50000,170272,2093270000000,1.200,1
41,2021-05-28 10:10:00.0000000,125.58870,125.58940,125.43000,125.43710,142449,2095780000000,1.200,1
42,2021-05-28 10:11:00.0000000,125.64000,125.65000,125.58000,125.59000,223171,2096630000000,1.200,1
43,2021-05-28 10:12:00.0000000,125.54000,125.65000,125.54000,125.64500,166110,2094970000000,1.200,1
44,2021-05-28 10:13:00.0000000,125.44000,125.57520,125.44000,125.54500,221116,2093300000000,1.200,1
45,2021-05-28 10:14:00.0000000,125.39000,125.45500,125.35000,125.44000,221863,2092460000000,1.200,1
46,2021-05-28 10:15:00.0000000,125.43220,125.55000,125.38000,125.38500,201108,2093170000000,1.200,1
47,2021-05-28 10:16:00.0000000,125.50000,125.50000,125.43000,125.43500,103364,2094300000000,1.200,1
48,2021-05-28 10:17:00.0000000,125.61000,125.63000,125.49500,125.49920,172704,2096130000000,1.200,1
49,2021-05-28 10:18:00.0000000,125.69020,125.70000,125.59030,125.60100,200067,2097470000000,1.200,1
50,2021-05-28 10:19:00.0000000,125.61000,125.71000,125.58220,125.69500,221180,2096130000000,1.200,1
51,2021-05-28 10:20:00.0000000,125.43500,125.61710,125.42000,125.61270,285585,2093210000000,1.200,1
52,2021-05-28 10:21:00.0000000,125.42500,125.45560,125.33580,125.44450,211154,2093050000000,1.200,1
53,2021-05-28 10:22:00.0000000,125.46000,125.49000,125.42500,125.42500,125745,2093630000000,1.200,1
54,2021-05-28 10:23:00.0000000,125.42000,125.50000,125.36500,125.46970,147624,2092960000000,1.200,1
55,2021-05-28 10:24:00.0000000,125.31500,125.43000,125.30000,125.42000,236673,2091210000000,1.200,1
56,2021-05-28 10:25:00.0000000,125.24750,125.32000,125.20000,125.31500,195735,2090080000000,1.200,1
57,2021-05-28 10:26:00.0000000,125.32500,125.33000,125.22500,125.24500,204618,2091380000000,1.200,1
58,2021-05-28 10:27:00.0000000,125.18500,125.32000,125.18000,125.31000,163705,2089040000000,1.200,1
59,2021-05-28 10:28:00.0000000,125.20000,125.23000,125.15000,125.19000,156929,2089290000000,1.200,1
60,2021-05-28 10:29:00.0000000,125.18790,125.23000,125.16000,125.20500,135638,2089090000000,1.200,1
61,2021-05-28 10:30:00.0000000,125.32000,125.34000,125.19000,125.19820,182281,2091290000000,1.200,1
62,2021-05-28 10:31:00.0000000,125.40000,125.42000,125.32000,125.32000,195115,2092630000000,1.200,1
63,2021-05-28 10:32:00.0000000,125.39500,125.42720,125.37000,125.40880,147802,2092550000000,1.200,1
64,2021-05-28 10:33:00.0000000,125.31500,125.43000,125.31000,125.39500,202700,2091210000000,1.200,1
65,2021-05-28 10:34:00.0000000,125.40540,125.41000,125.28000,125.31000,101922,2092720000000,1.200,1
66,2021-05-28 10:35:00.0000000,125.42000,125.43000,125.38010,125.40500,87736,2092960000000,1.200,1
67,2021-05-28 10:36:00.0000000,125.49500,125.51000,125.42000,125.42500,187105,2094210000000,1.200,1
68,2021-05-28 10:37:00.0000000,125.54000,125.55000,125.46510,125.49000,119354,2094970000000,1.200,1
69,2021-05-28 10:38:00.0000000,125.57770,125.60000,125.53500,125.54000,122292,2095590000000,1.200,1
70,2021-05-28 10:39:00.0000000,125.59000,125.62000,125.57500,125.57890,141542,2095800000000,1.200,1
71,2021-05-28 10:40:00.0000000,125.57500,125.61000,125.55000,125.59550,113033,2095550000000,1.200,1
72,2021-05-28 10:41:00.0000000,125.54500,125.60000,125.52000,125.57000,136039,2095050000000,1.200,1
73,2021-05-28 10:42:00.0000000,125.53000,125.58000,125.53000,125.54010,100706,2094800000000,1.200,1
74,2021-05-28 10:43:00.0000000,125.52000,125.54500,125.46000,125.53500,233465,2094630000000,1.200,1
75,2021-05-28 10:44:00.0000000,125.40000,125.52000,125.39000,125.52000,138234,2092630000000,1.200,1
76,2021-05-28 10:45:00.0000000,125.43870,125.45000,125.39000,125.39500,156527,2093270000000,1.200,1
77,2021-05-28 10:46:00.0000000,125.41010,125.45000,125.41000,125.44000,202283,2092800000000,1.200,1
78,2021-05-28 10:47:00.0000000,125.42500,125.45000,125.40000,125.42000,93699,2093050000000,1.200,1
79,2021-05-28 10:48:00.0000000,125.36000,125.44500,125.36000,125.44000,131132,2091960000000,1.200,1
80,2021-05-28 10:49:00.0000000,125.30500,125.37000,125.25000,125.37000,277814,2091040000000,1.200,1
81,2021-05-28 10:50:00.0000000,125.28100,125.34000,125.27010,125.31000,124205,2090640000000,1.200,1
82,2021-05-28 10:51:00.0000000,125.32000,125.35000,125.28500,125.29000,137518,2091290000000,1.200,1
83,2021-05-28 10:52:00.0000000,125.36840,125.36840,125.32260,125.32260,113502,2092100000000,1.200,1
84,2021-05-28 10:53:00.0000000,125.35270,125.38000,125.33000,125.36000,119005,2091840000000,1.200,1
85,2021-05-28 10:54:00.0000000,125.30500,125.37850,125.29000,125.36000,154605,2091040000000,1.200,1
86,2021-05-28 10:55:00.0000000,125.27500,125.33000,125.27500,125.30200,93090,2090540000000,1.200,1
87,2021-05-28 10:56:00.0000000,125.24000,125.28000,125.20000,125.28000,220910,2089960000000,1.200,1
88,2021-05-28 10:57:00.0000000,125.15500,125.26000,125.15000,125.24090,143690,2088540000000,1.200,1
89,2021-05-28 10:58:00.0000000,125.15000,125.22550,125.14000,125.16000,132918,2088460000000,1.200,1
90,2021-05-28 10:59:00.0000000,125.17000,125.18500,125.13000,125.15500,125257,2088790000000,1.200,1
91,2021-05-28 11:00:00.0000000,125.16000,125.20000,125.16000,125.18000,176707,2088620000000,1.200,1
92,2021-05-28 11:01:00.0000000,125.15990,125.17000,125.13000,125.16000,106561,2088620000000,1.200,1
93,2021-05-28 11:02:00.0000000,125.11000,125.16000,125.11000,125.15280,132628,2087790000000,1.200,1
94,2021-05-28 11:03:00.0000000,125.01500,125.13000,124.97500,125.12000,338827,2086200000000,1.200,1
95,2021-05-28 11:04:00.0000000,125.02000,125.06000,124.99000,125.01000,188610,2086290000000,1.200,1
96,2021-05-28 11:05:00.0000000,124.91000,125.03500,124.88000,125.01500,268434,2084450000000,1.200,1
97,2021-05-28 11:06:00.0000000,124.97500,124.98000,124.91000,124.92000,138762,2085540000000,1.200,1
98,2021-05-28 11:07:00.0000000,125.01000,125.01500,124.93000,124.97570,166950,2086120000000,1.200,1
99,2021-05-28 11:08:00.0000000,125.00000,125.03000,124.95000,125.01500,186426,2085950000000,1.200,1
100,2021-05-28 11:09:00.0000000,125.07000,125.08500,125.00500,125.00990,205030,2087120000000,1.200,1
101,2021-05-28 11:10:00.0000000,125.06010,125.09000,125.06000,125.06500,144910,2086960000000,1.200,1
102,2021-05-28 11:11:00.0000000,125.03100,125.10000,125.03000,125.06400,157153,2086470000000,1.200,1
103,2021-05-28 11:12:00.0000000,125.00000,125.04000,124.99500,125.03400,162145,2085950000000,1.200,1
104,2021-05-28 11:13:00.0000000,125.01050,125.02920,124.96000,125.00000,143341,2086130000000,1.200,1
