FactID,Date,Open,High,Low,Close,AdjClose,Volume,SecurityID
1,2015-01-02,164.71001,165.08000,162.73000,164.06000,136.07068,2116400,20
2,2015-01-05,163.00000,163.64000,160.08000,160.36000,133.00192,3692900,20
3,2015-01-06,160.82001,161.37000,157.74001,158.64999,131.58366,3532000,20
4,2015-01-07,159.89999,160.28000,158.94000,159.80000,132.53748,3081300,20
5,2015-01-08,160.64999,163.69000,160.52000,163.63001,135.71404,3142900,20
6,2015-01-09,163.85001,164.00000,161.27000,161.62000,134.04700,2378600,20
7,2015-01-12,162.39000,162.39000,160.02000,160.74001,133.31712,2149200,20
8,2015-01-13,162.23000,164.38001,159.45000,160.62000,133.21756,2703000,20
9,2015-01-14,159.03999,160.53000,158.50000,159.84000,132.57065,1983500,20
10,2015-01-15,160.89000,161.44000,159.37000,159.66000,132.42134,1876800,20
11,2015-01-16,159.86000,162.17999,159.09000,162.00000,134.36215,2349700,20
12,2015-01-20,162.72000,163.39999,160.06000,161.94000,134.31238,2091800,20
13,2015-01-21,161.66000,163.37000,161.02000,162.53999,134.81003,1597700,20
14,2015-01-22,163.26000,165.99001,162.13001,165.89000,137.58846,2225800,20
15,2015-01-23,165.75000,165.98000,163.91000,164.02000,136.03755,2245600,20
16,2015-01-26,163.62000,164.28000,161.80000,164.24001,136.21999,3556300,20
17,2015-01-27,162.31000,165.14000,160.94000,163.63001,135.71404,4190700,20
18,2015-01-28,164.61000,166.57001,163.76000,163.94000,135.97116,3574600,20
19,2015-01-29,164.07001,166.16000,162.88001,166.13001,137.78755,2674600,20
20,2015-01-30,164.75000,165.22000,162.30000,162.30000,134.61096,3561900,20
21,2015-02-02,162.12000,164.62000,160.89000,164.42000,136.36925,2379700,20
22,2015-02-03,165.17000,166.19000,164.71001,165.94000,137.62999,2604800,20
23,2015-02-04,165.78000,165.83000,164.24001,164.81000,136.69276,2363600,20
24,2015-02-05,165.31000,166.59000,164.75000,166.55000,138.13594,2050500,20
25,2015-02-06,166.23000,167.67999,165.56000,166.07001,137.73776,1826900,20
26,2015-02-09,164.38001,165.53999,163.84000,164.84000,136.71765,2073000,20
27,2015-02-10,165.39999,166.14000,164.60001,165.82001,137.53041,1885100,20
28,2015-02-11,164.52000,164.97000,163.47000,164.48000,137.26752,1695100,20
29,2015-02-12,164.92999,165.95000,164.85001,165.91000,138.46095,1615700,20
30,2015-02-13,165.89999,166.62000,165.33000,165.94000,138.48601,1792000,20
31,2015-02-17,165.94000,166.92000,165.09000,166.92000,139.30386,2100900,20
32,2015-02-18,166.92000,167.51000,166.01000,167.39999,139.70444,1552000,20
33,2015-02-19,167.39999,167.55000,166.58000,167.09000,139.44577,1648800,20
34,2015-02-20,166.74001,168.27000,165.13001,168.12000,140.30534,2416600,20
35,2015-02-23,168.14000,168.87000,167.70000,168.81000,140.88118,1836000,20
36,2015-02-24,168.27000,169.25000,168.07001,169.12000,141.13986,1770300,20
37,2015-02-25,168.97000,169.66000,168.62000,168.89000,140.94791,2019100,20
38,2015-02-26,168.85001,169.98000,168.64000,169.61000,141.54880,1789400,20
39,2015-02-27,169.66000,169.75000,168.56000,168.64999,140.74759,1946000,20
40,2015-03-02,168.16000,170.50000,168.12000,170.50000,142.29155,2223100,20
41,2015-03-03,169.57001,169.60001,167.36000,168.27000,140.43053,2232400,20
42,2015-03-04,168.26000,168.26000,166.46001,167.16000,139.50417,1575700,20
43,2015-03-05,167.21001,167.70000,166.69000,167.57001,139.84631,1547200,20
44,2015-03-06,166.50000,166.77000,164.01000,164.36000,137.16742,2114400,20
45,2015-03-09,164.72000,166.78000,164.51000,166.37000,138.84488,1608100,20
46,2015-03-10,164.81000,164.86000,162.25000,162.26000,135.41480,2564600,20
47,2015-03-11,162.70000,163.22000,161.66000,161.73000,134.97255,1894300,20
48,2015-03-12,162.59000,164.52000,162.57001,164.47000,137.25920,1715000,20
49,2015-03-13,164.02000,164.39000,161.78000,162.74001,135.81543,2284700,20
50,2015-03-16,163.58000,166.27000,163.58000,166.21001,138.71127,2111200,20
51,2015-03-17,165.52000,165.53000,163.38001,164.23000,137.05890,2557900,20
52,2015-03-18,163.16000,166.95000,162.05000,166.47000,138.92828,3062400,20
53,2015-03-19,166.16000,166.21001,164.85001,165.66000,138.25235,1953500,20
54,2015-03-20,166.09000,167.13001,165.39000,166.49001,138.94499,4371800,20
55,2015-03-23,166.83000,166.91000,165.83000,166.13001,138.64461,2157300,20
56,2015-03-24,165.58000,167.64999,165.53000,166.32001,138.80309,2091000,20
57,2015-03-25,166.24001,166.52000,162.66000,162.70000,135.78203,2540900,20
58,2015-03-26,162.00000,163.37000,161.21001,162.59000,135.69022,2050700,20
59,2015-03-27,162.36000,163.89999,162.02000,163.50000,136.44968,1722600,20
60,2015-03-30,164.20000,166.77000,164.20000,166.05000,138.57779,1684000,20
61,2015-03-31,165.41000,166.00000,164.62000,164.95000,137.65974,2081300,20
62,2015-04-01,164.28999,164.53999,161.89999,162.52000,135.63181,2148100,20
63,2015-04-02,163.38001,163.97000,162.12000,162.80000,135.86548,1852600,20
64,2015-04-06,161.66000,165.99001,161.39999,165.48000,138.10210,2560300,20
65,2015-04-07,165.39999,167.57001,165.28000,166.21001,138.71127,2479500,20
66,2015-04-08,166.21001,167.22000,165.21001,166.27000,138.76141,1754400,20
67,2015-04-09,166.25000,167.17999,165.08000,166.78999,139.19534,1680100,20
68,2015-04-10,167.50000,167.70000,166.22000,167.07001,139.42905,1501900,20
69,2015-04-13,166.76000,167.36000,165.60001,165.84000,138.40251,1860400,20
70,2015-04-14,165.32001,166.48000,164.17000,165.99001,138.52771,1914300,20
71,2015-04-15,166.72000,167.34000,165.86000,166.44000,138.90324,1995800,20
72,2015-04-16,165.73000,166.64999,165.10001,165.89000,138.44428,1662800,20
73,2015-04-17,164.53000,164.53999,161.13001,161.71001,134.95584,3063500,20
74,2015-04-20,163.00000,165.39000,162.73000,164.51000,137.29256,2394200,20
75,2015-04-21,165.64999,165.70000,163.62000,164.00000,136.86691,1970500,20
76,2015-04-22,163.81000,164.89000,162.57001,164.67000,137.42609,2228800,20
77,2015-04-23,159.53999,161.45000,158.61000,159.66000,133.24500,5704500,20
78,2015-04-24,159.81000,159.81000,157.85001,158.99001,132.68582,3043500,20
79,2015-04-27,159.48000,160.07001,157.81000,157.98000,131.84296,3448800,20
80,2015-04-28,157.69000,158.36000,156.17999,158.33000,132.13503,3387900,20
