ID,Symbol,Company,Industry,DateAdded,IndexWeighting,ExchangeID
1,AAPL,Apple Inc.,Information technology,2015-03-19,0.025700,1
2,AMGN,Amgen,Pharmaceutical industry,2020-08-31,0.048700,1
3,AXP,American Express,Financial services,1982-08-30,0.028800,2
4,BA,Boeing,Aerospace and defense,1987-03-12,0.049200,2
5,CAT,Caterpillar Inc.,Construction and Mining,1991-05-06,0.045400,2
6,CRM,Salesforce,Information technology,2020-08-31,0.044500,2
7,CSCO,Cisco Systems,Information technology,2009-06-08,0.010000,1
8,CVX,Chevron Corporation,Petroleum industry,2008-02-19,0.020300,2
9,DIS,The Walt Disney Company,Broadcasting and entertainment,1991-05-06,0.036600,2
10,DOW,Dow Inc.,Chemical industry,2019-04-02,0.012500,2
11,GS,Goldman Sachs,Financial services,2013-09-20,0.065400,2
12,HD,The Home Depot,Retailing,1999-11-01,0.062400,2
13,HON,Honeywell,Conglomerate,2020-08-31,0.044700,1
14,IBM,IBM,Information technology,1979-06-29,0.025900,2
15,INTC,Intel,Information technology,1999-11-01,0.012500,1
16,JNJ,Johnson & Johnson,Pharmaceutical industry,1997-03-17,0.031200,2
17,JPM,JPMorgan Chase,Financial services,1991-05-06,0.029500,2
18,KO,The Coca-Cola Company,Food industry,1987-03-12,0.010400,2
19,MCD,McDonald's,Food industry,1985-10-30,0.044900,2
20,MMM,3M,Conglomerate,1976-08-09,0.038400,2
21,MRK,Merck & Co.,Pharmaceutical industry,1979-06-29,0.014900,2
22,MSFT,Microsoft,Information technology,1999-11-01,0.049800,1
23,NKE,"Nike, Inc.",Apparel,2013-09-20,0.025800,2
24,PG,Procter & Gamble,Fast-moving consumer goods,1932-05-26,0.026400,2
25,TRV,The Travelers Companies,Financial services,2009-06-08,0.030300,2
26,UNH,UnitedHealth Group,Managed health care,2012-09-24,0.073300,2
27,V,Visa Inc.,Financial services,2013-09-20,0.043300,2
28,VZ,Verizon Communications,Telecommunication,2004-04-08,0.011300,2
29,WBA,Walgreens Boots Alliance,Retailing,2018-06-26,0.010600,1
30,WMT,Walmart,Retailing,1997-03-17,0.027200,2
